TIPO DE REGISTRO,CARRERA,UNIVERSIDAD,CALIFICACIÓN,RANKING,Nivel del salario,Salario Promedio
Evaluación Alumnos,Todas las carreras,UNAM-CU,10,1,,
Evaluación Alumnos,Todas las carreras,UDLAP,9.97,2,,
Evaluación Alumnos,Todas las carreras,IPN,9.84,3,,
Evaluación Alumnos,Todas las carreras,UP,9.81,4,,
Evaluación Alumnos,Todas las carreras,UANL,9.78,5,,
Evaluación Alumnos,Todas las carreras,UAM,9.76,6,,
Evaluación Alumnos,Todas las carreras,BUAP,9.75,7,,
Evaluación Alumnos,Todas las carreras,UDG,9.71,8,,
Evaluación Alumnos,Todas las carreras,La Salle,9.67,9,,
Evaluación Alumnos,Todas las carreras,UAG,9.6,10,,
Evaluación Alumnos,Actuaría,UNAM-CU,10,1,,
Evaluación Alumnos,Actuaría,UDLAP,9.8,2,,
Evaluación Alumnos,Actuaría,UANL,9.74,3,,
Evaluación Alumnos,Actuaría,BUAP,9.49,4,,
Evaluación Alumnos,Actuaría,La Salle,9.49,5,,
Evaluación Alumnos,Actuaría,UNAM-Acatlán,9.48,6,,
Evaluación Alumnos,Actuaría,UAG,9.33,7,,
Evaluación Alumnos,Actuaría,UAQ,9.27,8,,
Evaluación Alumnos,Actuaría,UAEMEX-Toluca,9.2,9,,
Evaluación Alumnos,Actuaría,UAEMEX-Izcalli,9.19,10,,
Evaluación Alumnos,Actuaría,Marista,8.99,11,,
Evaluación Alumnos,Actuaría,UAEMEX Valle de México,8.96,12,,
Evaluación Alumnos,Actuaría,UAEMEX Huehetoca,8.8,13,,
Evaluación Alumnos,Actuaría,UVP Puebla,8.49,14,,
Salarios,Actuaría,,,,Licenciatura,14300
Evaluación Académicos,Actuaría,UNAM-CU,9.36,1,,
Evaluación Académicos,Actuaría,UNAM Acatlán,9.07,2,,
Evaluación Académicos,Actuaría,UDLAP,8.89,3,,
Evaluación Académicos,Actuaría,BUAP,8.57,4,,
Evaluación Académicos,Actuaría,UANL,8.57,5,,
Evaluación Académicos,Actuaría,La Salle,8.55,6,,
Evaluación Académicos,Actuaría,UAG,8.4,7,,
Evaluación Académicos,Actuaría,UAQ,8.25,8,,
Evaluación Académicos,Actuaría,UAEMEX Toluca,8.11,9,,
Evaluación Académicos,Actuaría,UAEMEX Izcalli,8.08,10,,
Evaluación Académicos,Actuaría,Marista,7.89,11,,
Evaluación Académicos,Actuaría,UAEMEX Valle de México,7.8,12,,
Evaluación Académicos,Actuaría,UAEMEX Huehuetoca,7.54,13,,
Evaluación Académicos,Actuaría,UVM Campus Puebla,7,14,,
Evaluación Alumnos,Administración,UNAM-CU,10,1,,
Evaluación Alumnos,Administración,UDLAP,9.88,2,,
Evaluación Alumnos,Administración,UNAM-Cuautitlán,9.78,3,,
Evaluación Alumnos,Administración,UANL,9.77,4,,
Evaluación Alumnos,Administración,UDG-CUCEA,9.77,5,,
Evaluación Alumnos,Administración,UP,9.76,6,,
Evaluación Alumnos,Administración,BUAP,9.74,7,,
Evaluación Alumnos,Administración,IBERO Puebla,9.72,8,,
Evaluación Alumnos,Administración,La Salle,9.72,9,,
Evaluación Alumnos,Administración,ITESO,9.7,10,,
Evaluación Alumnos,Administración,UAM,9.69,11,,
Evaluación Alumnos,Administración,UAQ,9.67,12,,
Evaluación Alumnos,Administración,IPN Santo Tomás,9.65,13,,
Evaluación Alumnos,Administración,UAM Xochimilco,9.64,14,,
Evaluación Alumnos,Administración,UAG CU,9.62,15,,
Evaluación Alumnos,Administración,UDEM,9.62,16,,
Evaluación Alumnos,Administración,UAEMEX Toluca,9.62,17,,
Evaluación Alumnos,Administración,UAM Iztapalapa,9.59,18,,
Evaluación Alumnos,Administración,Chapingo,9.57,19,,
Evaluación Alumnos,Administración,UAM Cuajimalpa,9.56,20,,
Evaluación Alumnos,Administración,UAQ San Juan del Río,9.54,21,,
Evaluación Alumnos,Administración,UDG Ciénega,9.53,22,,
Evaluación Alumnos,Administración,UVM Edomex,9.51,23,,
Evaluación Alumnos,Administración,UDF Altos,9.51,24,,
Evaluación Alumnos,Administración,UVM Cdmx,9.49,25,,
Evaluación Alumnos,Administración,UNIVA,9.47,26,,
Evaluación Alumnos,Administración,UDG Lagos,9.47,27,,
Evaluación Alumnos,Administración,UAEMEX Amecameca,9.47,28,,
Evaluación Alumnos,Administración,UDG Valles,9.46,29,,
Evaluación Alumnos,Administración,UDG Costa Sur,9.46,30,,
Evaluación Alumnos,Administración,UNITEC Cdmx,9.46,31,,
Evaluación Alumnos,Administración,Marista,9.45,32,,
Evaluación Alumnos,Administración,UVM Puebla,9.44,33,,
Evaluación Alumnos,Administración,UVM Nuevo León,9.44,34,,
Evaluación Alumnos,Administración,U. Regiomontana,9.43,35,,
Evaluación Alumnos,Administración,UVM Querétaro,9.42,36,,
Evaluación Alumnos,Administración,UDG Costa Sur,9.41,37,,
Evaluación Alumnos,Administración,UNITEC Edomex,9.38,38,,
Evaluación Alumnos,Administración,UAMEX Ecatepec,9.36,39,,
Evaluación Alumnos,Administración,U. del Pedregal,9.35,40,,
Evaluación Alumnos,Administración,UAEMEX Tejupilco,9.33,41,,
Evaluación Alumnos,Administración,Tecmilenio Nuevo León,9.32,42,,
Evaluación Alumnos,Administración,UAEMEX Atlacomulco,9.32,43,,
Evaluación Alumnos,Administración,UVM Morelos,9.31,44,,
Salarios,Administración,,,,Licenciatura,14300
Salarios,Administración,,,,Posgrado,33549
Salarios,Arquitectura,,,,Licenciatura,24874
Salarios,Arquitectura,,,,Posgrado,30243
Evaluación Alumnos,Arquitectura,UNAM-CU,10,1,,
Evaluación Alumnos,Arquitectura,IPN Tecamachalco,9.84,2,,
Evaluación Alumnos,Arquitectura,UDEM,9.74,3,,
Evaluación Alumnos,Arquitectura,UDLAP,9.72,4,,
Evaluación Alumnos,Arquitectura,UANL,9.72,5,,
Evaluación Alumnos,Arquitectura,La Salle,9.64,6,,
Evaluación Alumnos,Arquitectura,UDG,9.64,7,,
Evaluación Alumnos,Arquitectura,IBERO Puebla,9.61,8,,
Evaluación Alumnos,Arquitectura,ITESO,9.59,9,,
Evaluación Alumnos,Arquitectura,BUAP,9.58,10,,
Evaluación Alumnos,Arquitectura,UNAM Acatlán,9.58,11,,
Evaluación Alumnos,Arquitectura,UAM Azcapotzalco,9.58,12,,
Evaluación Alumnos,Arquitectura,UNAM Aragón,9.52,13,,
Evaluación Alumnos,Arquitectura,UAG-CU,9.51,14,,
Evaluación Alumnos,Arquitectura,UAEMEX Toluca,9.45,15,,
Evaluación Alumnos,Arquitectura,UAM Xochimilco,9.45,16,,
Evaluación Alumnos,Arquitectura,UVM Nuevo León,9.43,17,,
Evaluación Alumnos,Arquitectura,UDG Costa,9.4,18,,
Evaluación Alumnos,Arquitectura,U. Regiomontana,9.38,19,,
Evaluación Alumnos,Arquitectura,UNITEC Edomex,9.31,20,,
Evaluación Alumnos,Arquitectura,UVM Cdmx,9.28,21,,
Evaluación Alumnos,Arquitectura,TECNM Querétaro,9.27,22,,
Evaluación Alumnos,Arquitectura,UVM Jalisco,9.25,23,,
Evaluación Alumnos,Arquitectura,UNIVA,9.2,24,,
Evaluación Alumnos,Arquitectura,UNITEC Cdmx,9.19,25,,
Evaluación Alumnos,Arquitectura,ESARQ Jalisco,9.18,26,,
Evaluación Alumnos,Arquitectura,Marista,9.16,27,,
Evaluación Alumnos,Arquitectura,UVM Edomex,9.14,28,,
Evaluación Alumnos,Arquitectura,UNITEC Jalisco,9.14,29,,
Evaluación Alumnos,Arquitectura,Justo Sierra,9.14,30,,
Evaluación Alumnos,Arquitectura,UVM Morelos,9.09,31,,
Evaluación Alumnos,Arquitectura,UVM Querétaro,9.08,32,,
Evaluación Alumnos,Arquitectura,UVP Puebla,9.07,33,,
Evaluación Alumnos,Arquitectura,U. Angelópolis Puebla,9.06,34,,
Evaluación Alumnos,Arquitectura,UNITEC Querétaro,9.06,35,,
Evaluación Alumnos,Arquitectura,UVM Puebla,9.07,36,,
Evaluación Alumnos,Arquitectura,U. Intercontinental Cdmx,9.05,37,,
Evaluación Alumnos,Arquitectura,TES Jocotitlán,9.05,38,,
Evaluación Alumnos,Arquitectura,U. de Ixtalhuaca CUI,8.99,39,,
Evaluación Alumnos,Arquitectura,U. Cuauhtémoc Querétaro,8.98,40,,
Evaluación Alumnos,Arquitectura,TES Villa Guerrero,8.98,41,,
Evaluación Alumnos,Arquitectura,U. Internacional Morelos,8.98,42,,
Evaluación Alumnos,Arquitectura,UVP Tehuacán,8.93,43,,
Evaluación Alumnos,Arquitectura,U. Latinoamericana Cdmx,8.89,44,,
Evaluación Alumnos,Arquitectura,U. Insurgentes,8.87,45,,
